model,unit_id,horizon,n,mean_residual,std_residual,shapiro_stat,shapiro_p,ljung_box_p
LSTM,21334825,2,2040,0.06320891567305023,0.7079815716730679,0.9463246576887023,1.2142201088184165e-26,3.13354528166762e-169
LSTM,21334825,3,2040,0.03442239106870165,0.767484740015893,0.9440252785236593,3.846821433976656e-27,1.827962189767371e-232
LSTM,21334825,4,2040,0.11273794080696854,0.8089310352667046,0.9467395494755795,1.5000490155655558e-26,0.0
LSTM,21334825,12,2040,0.09571733848721373,0.9052005086638392,0.9076040559770122,1.7400787665110213e-33,0.0
LSTM,21334825,24,2040,0.12678529982473336,1.0349710266804002,0.7610544060830076,1.9246415524392988e-47,0.0
LSTM,21334825,48,2040,0.07893396919848872,1.0349337342358427,0.7643502068258534,3.2104104661098493e-47,0.0
LSTM,21334825,72,2040,0.10088027178072462,1.0325511283666902,0.7674199364567407,5.198122447020232e-47,0.0
LSTM,21336305,1,2040,0.24837513811448042,0.9063070559726323,0.7103951353577536,1.4207760183446527e-50,0.0
LSTM,21336305,2,2040,-0.03695858039107977,0.6043536360383478,0.9440899784034792,3.971290356040102e-27,4.9576882222181535e-140
LSTM,21336305,3,2040,0.05807605257221297,0.6637881140755119,0.9369151378316919,1.3647159118703157e-28,1.299115133171829e-231
LSTM,21336305,4,2040,-0.03358039061228434,0.6998806529542069,0.9220990601942877,3.0169783835659164e-31,1.923415336339538e-285
LSTM,21336305,12,2040,0.17446384523429123,0.784125077108123,0.9276988701939657,2.7089513156151417e-30,0.0
LSTM,21336305,24,2040,0.20759979603337306,0.8077430848031786,0.9104339234947627,4.516238521296889e-33,0.0
LSTM,21336305,48,2040,0.22783695155499029,0.9078380180736886,0.7127780702257207,1.9463851423314485e-50,0.0
LSTM,21336305,72,2040,0.11971975448084812,0.8012060663346042,0.9033106798349595,4.27471768064003e-34,0.0
LSTM,97635816,1,2040,0.05207754864412196,0.48141816076701094,0.9344378575624146,4.5652970469635665e-29,9.751765815537386e-54
LSTM,97635816,2,2040,0.018990567618725345,0.5772130509866632,0.9438894672789732,3.598422529080126e-27,1.3188718207009539e-180
LSTM,97635816,3,2040,-0.02868663282955394,0.635585763361449,0.9166859626942419,4.053602016078146e-32,1.4426147584410323e-292
LSTM,97635816,4,2040,0.15929878178764792,0.8325375902534239,0.6891545849002726,9.41081811987203e-52,0.0
LSTM,97635816,12,2040,0.023611176247690237,0.7376608749210557,0.8890935544136517,5.681892216330065e-36,0.0
LSTM,97635816,24,2040,0.1051924046348123,0.7430456892051649,0.8877693731994197,3.8875450831690526e-36,0.0
LSTM,97635816,48,2040,0.18916902822606704,0.8305154183485604,0.6760433398747596,1.9010949338868063e-52,0.0
LSTM,97635816,72,2040,0.14132707633224187,0.7427766991613364,0.8782789572338447,2.8304955845119665e-37,0.0
LSTM,1775257343,1,2040,0.09970293419033874,0.7706841631709053,0.9705982592297818,5.094386867945509e-20,6.550451550452033e-28
LSTM,1775257343,2,2040,0.22833241948894425,0.9081034773894846,0.9765123385704667,8.313228482349416e-18,2.697443334180818e-147
LSTM,1775257343,3,2040,-0.05605699829026765,0.9580138001813199,0.9588049134683455,1.3197374098103518e-23,2.2938608642681137e-221
LSTM,1775257343,4,2040,0.12366349603615555,1.0132128839610592,0.9703905196104654,4.3197146513208995e-20,2.1905848730429516e-278
LSTM,1775257343,12,2040,0.48303831792345236,1.1234972096357465,0.9810485194412607,8.000996796657545e-16,0.0
LSTM,1775257343,24,2040,0.26245505856532675,1.0912061503609145,0.9594063319289099,1.9208518995011663e-23,0.0
LSTM,1775257343,48,2040,0.5304257294710945,1.1115985798218802,0.9601898463701197,3.1520046697942445e-23,0.0
LSTM,1775257343,72,2040,0.5444458255580827,1.112992788246748,0.9665512981883675,2.36100678868854e-21,0.0
LSTM,4452986337,1,2040,0.06240771751777799,0.7296570829344551,0.9669906609432922,3.25090746838129e-21,3.39912182419863e-50
LSTM,4452986337,2,2040,0.056217126752815996,0.8719747896627479,0.9668101026307501,2.849419832319113e-21,1.0102790060966949e-159
LSTM,4452986337,3,2040,0.04242417157865038,0.9469534599485464,0.9579842955842107,7.960153909156457e-24,7.462136532468816e-240
LSTM,4452986337,4,2040,0.04353421622631597,0.9999254186144235,0.9539809175945068,7.477393047059165e-25,1.729053454724352e-297
LSTM,4452986337,12,2040,0.25359750401739983,1.1175733806266799,0.9495016738848624,6.333456332762111e-26,0.0
LSTM,4452986337,24,2040,0.2815018265855079,1.1283035311749416,0.9385004343107751,2.799026971665494e-28,0.0
LSTM,4452986337,48,2040,0.1415673999225392,1.1338176218695968,0.9341552514532361,4.037428303129171e-29,0.0
LSTM,4452986337,72,2040,0.1944166950151032,1.1305155603288308,0.9312359636236859,1.161446064464372e-29,0.0
LightGBM,705089,1,2208,0.021978935350613692,0.4355945727988606,0.8754491414635951,7.719458743831213e-39,0.28917644311863333
LightGBM,705089,2,2208,0.0759191944461035,0.7253384337217289,0.9689736456730966,1.9747074956960783e-21,3.9380549235861056e-29
