model,unit_id,horizon,mae,rmse,mape,within_2_patients_pct
Prophet,21334825,4,0.7942,0.9783,6.7591,96.83
Prophet,21334825,12,0.7954,0.9789,6.7678,96.83
Prophet,21334825,24,0.7946,0.9783,6.7606,96.83
Prophet,21334825,48,0.79,0.9746,6.7173,96.83
Prophet,21334825,72,0.7847,0.9705,6.6761,96.83
Prophet,21336305,1,0.6968,0.8429,5.7853,98.28
Prophet,21336305,2,0.6972,0.8434,5.7898,98.28
Prophet,21336305,3,0.6973,0.8435,5.7902,98.28
Prophet,21336305,4,0.6973,0.8435,5.791,98.28
Prophet,21336305,12,0.6975,0.8436,5.7928,98.28
Prophet,21336305,24,0.6961,0.8428,5.7814,98.28
Prophet,21336305,48,0.6959,0.8433,5.7815,98.28
Prophet,21336305,72,0.6938,0.8418,5.7655,98.28
Prophet,97635816,1,1.3579,1.5399,12.9741,81.7
Prophet,97635816,2,1.3587,1.5406,12.9812,81.66
Prophet,97635816,3,1.3595,1.5412,12.9883,81.61
Prophet,97635816,4,1.3603,1.5418,12.9954,81.57
Prophet,97635816,12,1.3658,1.5464,13.0461,81.25
Prophet,97635816,24,1.3747,1.5572,13.1291,80.8
Prophet,97635816,48,1.3853,1.5673,13.2312,80.07
Prophet,97635816,72,1.4015,1.5827,13.3745,79.17
Prophet,1775257343,1,1.0935,1.3647,5.9424,86.19
Prophet,1775257343,2,1.093,1.3645,5.9403,86.19
Prophet,1775257343,3,1.0926,1.3643,5.9382,86.19
Prophet,1775257343,4,1.0922,1.3642,5.9363,86.19
Prophet,1775257343,12,1.0901,1.3634,5.926,86.19
Prophet,1775257343,24,1.0903,1.3642,5.9311,86.14
Prophet,1775257343,48,1.0924,1.3665,5.9409,86.1
Prophet,1775257343,72,1.0913,1.3681,5.9374,86.1
Prophet,4452986337,1,1.1055,1.3202,8.7682,88.45
Prophet,4452986337,2,1.1055,1.3202,8.7678,88.45
Prophet,4452986337,3,1.1051,1.32,8.7651,88.45
Prophet,4452986337,4,1.1048,1.3199,8.7632,88.45
Prophet,4452986337,12,1.1051,1.32,8.7655,88.45
Prophet,4452986337,24,1.1052,1.3206,8.7703,88.36
Prophet,4452986337,48,1.1086,1.326,8.8172,88.13
Prophet,4452986337,72,1.1089,1.3259,8.8213,88.18
RandomForest,705089,1,0.2868,0.4463,1.9201,99.73
RandomForest,705089,2,0.5351,0.7559,3.5413,97.92
RandomForest,705089,3,0.6563,0.902,4.3217,95.92
RandomForest,705089,4,0.7469,1.0012,4.9125,94.2
RandomForest,705089,12,1.0309,1.3187,6.625,86.87
RandomForest,705089,24,1.11,1.402,7.0949,84.78
RandomForest,705089,48,1.1308,1.4191,7.2197,83.65
RandomForest,705089,72,1.1065,1.3478,7.0875,86.59
RandomForest,705090,1,0.5005,0.6453,1.7339,98.96
RandomForest,705090,2,0.8973,1.171,3.0684,89.9
RandomForest,705090,3,1.156,1.5041,3.9282,81.7
RandomForest,705090,4,1.3088,1.6928,4.431,76.31
RandomForest,705090,12,2.1582,2.637,7.2013,52.58
RandomForest,705090,24,2.6981,3.2399,8.9397,40.26
RandomForest,705090,48,3.7617,4.2788,12.3615,23.1
RandomForest,705090,72,3.4457,3.9671,11.3398,26.77
RandomForest,705091,1,0.2491,0.4172,1.3724,99.91
RandomForest,705091,2,0.4778,0.6971,2.608,98.41
RandomForest,705091,3,0.5844,0.8338,3.1837,96.97
RandomForest,705091,4,0.649,0.9081,3.5232,95.7
RandomForest,705091,12,0.9169,1.1516,4.886,91.94
RandomForest,705091,24,0.9858,1.226,5.2357,89.95
RandomForest,705091,48,1.0342,1.2858,5.4894,88.77
RandomForest,705091,72,1.0625,1.3182,5.6282,87.18
RandomForest,705092,1,0.2284,0.3951,2.225,99.86
RandomForest,705092,2,0.4646,0.6879,4.4431,98.19
RandomForest,705092,3,0.5852,0.8303,5.5674,96.69
RandomForest,705092,4,0.6739,0.9141,6.3726,96.11
RandomForest,705092,12,0.9142,1.1041,8.4465,94.16
RandomForest,705092,24,0.9603,1.1683,8.7812,92.39
RandomForest,705092,48,0.9665,1.1523,8.857,93.25
RandomForest,705092,72,0.9974,1.1955,9.1412,92.71
RandomForest,21334825,1,0.1987,0.3623,1.751,99.91
RandomForest,21334825,2,0.3925,0.6005,3.418,99.14
RandomForest,21334825,3,0.5051,0.7308,4.3798,98.23
RandomForest,21334825,4,0.5872,0.8129,5.0763,97.24
RandomForest,21334825,12,0.7624,0.9457,6.497,96.92
RandomForest,21334825,24,0.8159,0.9966,6.896,96.29
RandomForest,21334825,48,0.8227,0.9987,6.9648,96.42
RandomForest,21334825,72,0.814,0.9891,6.8813,96.78
RandomForest,21336305,1,0.1702,0.3255,1.465,100.0
RandomForest,21336305,2,0.3725,0.555,3.1544,99.55
RandomForest,21336305,3,0.4706,0.6655,3.9649,98.82
RandomForest,21336305,4,0.5352,0.728,4.497,98.73
RandomForest,21336305,12,0.6869,0.8462,5.7113,97.78
RandomForest,21336305,24,0.7375,0.9017,6.0965,97.6
RandomForest,21336305,48,0.742,0.9,6.1457,97.28
RandomForest,21336305,72,0.7459,0.9131,6.1686,98.05
RandomForest,97635816,1,0.1664,0.3249,1.766,99.91
RandomForest,97635816,2,0.3352,0.5279,3.4618,99.46
RandomForest,97635816,3,0.4312,0.6375,4.4322,99.18
RandomForest,97635816,4,0.4826,0.6884,4.9411,98.82
RandomForest,97635816,12,0.6531,0.8357,6.6145,98.01
RandomForest,97635816,24,0.6843,0.8576,6.8897,97.87
RandomForest,97635816,48,0.6857,0.8579,6.9226,97.74
RandomForest,97635816,72,0.7145,0.8842,7.1819,97.64
RandomForest,1775257343,1,0.3108,0.493,1.7736,99.5
RandomForest,1775257343,2,0.578,0.8201,3.2602,96.78
RandomForest,1775257343,3,0.6945,0.9689,3.8903,94.38
RandomForest,1775257343,4,0.7748,1.064,4.3295,92.75
RandomForest,1775257343,12,1.0457,1.3341,5.7256,86.82
RandomForest,1775257343,24,1.3425,1.6437,7.2309,78.4
RandomForest,1775257343,48,1.581,1.9186,8.5035,68.7
RandomForest,1775257343,72,1.6767,2.0523,8.9804,63.54
RandomForest,4452986337,1,0.2849,0.4786,2.4163,99.5
RandomForest,4452986337,2,0.5314,0.7817,4.4462,97.33
RandomForest,4452986337,3,0.6539,0.926,5.4493,95.83
RandomForest,4452986337,4,0.7252,1.0074,6.0237,93.89
RandomForest,4452986337,12,0.9861,1.2312,7.99,89.18
RandomForest,4452986337,24,1.0207,1.2636,8.2265,89.27
RandomForest,4452986337,48,1.1174,1.3925,8.9309,84.78
RandomForest,4452986337,72,1.1295,1.397,9.0323,84.74
